formulation,test_case_id,ligand,target,protein,baseline_log2,ode_log2,scm_log2,baseline_fold,ode_fold,scm_fold
mass_action,0,Serum,AKT,AKT,1.8099998481185244,2.046908541728137,0.9217286629320769,3.5064225161212246,4.132195585847298,1.8943838185686412
mass_action,0,Serum,AKT,EGFR,0.037471749833383416,0.47798248283294065,0.037471749833383416,1.026313686908245,1.3927945692895836,1.026313686908245
mass_action,0,Serum,AKT,GSK3,0.0404249496442049,0.19387009849526693,0.21332432718368094,1.0284167049105133,1.1438279773101796,1.1593565534685728
mass_action,0,Serum,AKT,MAPK,0.2057976398143917,0.851358098516819,0.15326713555197258,1.15332382229586,1.804198530287385,1.11208505685461
mass_action,0,Serum,AKT,MEK,0.04797355785191293,0.32747310600348234,0.2929122059111946,1.0338117880613178,1.254813630716899,1.2251107764691977
mass_action,0,Serum,AKT,mTOR,0.032102462870857384,0.6010541060706631,0.09601013793626334,1.0225011479543855,1.5168244304877676,1.0688135018246725
mass_action,0,Serum,AKT,PDK1,0.1467982798621687,0.5178780924979317,0.1467982798621687,1.1071097756412007,1.4318477451818414,1.1071097756412007
mm,0,Serum,AKT,AKT,1.8099998481185244,0.9396076016896611,0.6740545877883106,3.5064225161212246,1.918006489530671,1.595550849926284
mm,0,Serum,AKT,EGFR,0.037471749833383416,0.6246536505254494,0.037471749833383416,1.026313686908245,1.5418406295018445,1.026313686908245
mm,0,Serum,AKT,GSK3,0.0404249496442049,0.05763408691543187,0.2401947188343973,1.0284167049105133,1.040757595167927,1.1811520693622268
mm,0,Serum,AKT,MAPK,0.2057976398143917,0.7821078623404483,0.15919165707754068,1.15332382229586,1.7196415357803123,1.116661296744704
mm,0,Serum,AKT,MEK,0.04797355785191293,0.31680294602671943,0.451771718734858,1.0338117880613178,1.2455672751471112,1.3677188691825326
mm,0,Serum,AKT,mTOR,0.032102462870857384,0.9627247804733787,0.1835205626370645,1.0225011479543855,1.9489874225879054,1.1356518015186468
mm,0,Serum,AKT,PDK1,0.1467982798621687,0.8234953493310992,0.1467982798621687,1.1071097756412007,1.7696883888560169,1.1071097756412007
hill,0,Serum,AKT,AKT,1.8099998481185244,1.219502049747421,0.5808704082453486,3.5064225161212246,2.328663289527195,1.4957513947246495
hill,0,Serum,AKT,EGFR,0.037471749833383416,0.5240300321185387,0.037471749833383416,1.026313686908245,1.4379664662207206,1.026313686908245
hill,0,Serum,AKT,GSK3,0.0404249496442049,0.3447243463254835,0.40216650492775236,1.0284167049105133,1.2699083197936483,1.3214909133233843
hill,0,Serum,AKT,MAPK,0.2057976398143917,0.9598412649735706,0.16455588455509873,1.15332382229586,1.9450958705007,1.1208209943309773
hill,0,Serum,AKT,MEK,0.04797355785191293,0.21228898169650723,0.34168503807400974,1.0338117880613178,1.1585248434144533,1.2672358352784845
hill,0,Serum,AKT,mTOR,0.032102462870857384,1.247008713512264,0.17489535457178695,1.0225011479543855,2.3734879305350964,1.1288825187001457
hill,0,Serum,AKT,PDK1,0.1467982798621687,1.2400618600987487,0.1467982798621687,1.1071097756412007,2.362086602598534,1.1071097756412007
mass_action,1,Serum,AKT,AKT,3.057754279085977,3.29466297269559,2.1694830938995295,8.326754441555465,9.812787189688558,4.498621829729287
mass_action,1,Serum,AKT,EGFR,0.004561769440512009,0.44507250244006924,0.004561769440512009,1.0031669819504396,1.3613825308714878,1.0031669819504396
mass_action,1,Serum,AKT,GSK3,0.20133946783875656,0.4356345159782284,0.028440090299280518,1.149765357347781,1.3525055517079583,1.0199087560131834
mass_action,1,Serum,AKT,MAPK,0.23443630452178432,0.8799967632242116,0.1819058002593652,1.1764469814161334,1.8403711722582685,1.1343814138948543
mass_action,1,Serum,AKT,MEK,0.32265733444394096,0.6021568825955104,0.018228429319166572,1.2506319976428202,1.5179843137557996,1.0127151430492443
mass_action,1,Serum,AKT,mTOR,0.45808711632220767,0.11086452687759807,0.3941794412568017,1.3737191821792711,1.079875151757445,1.3141950755181226
mass_action,1,Serum,AKT,PDK1,0.034202077587903806,0.40528189022366684,0.034202077587903806,1.0239903202065521,1.3243476512765961,1.0239903202065521
mm,1,Serum,AKT,AKT,3.057754279085977,2.1873620326571137,1.9218090187557633,8.326754441555465,4.554718942798272,3.788978671357575
mm,1,Serum,AKT,EGFR,0.004561769440512009,0.591743670132578,0.004561769440512009,1.0031669819504396,1.5070671186364217,1.0031669819504396
mm,1,Serum,AKT,GSK3,0.20133946783875656,0.29939850439839333,0.001569698648564155,1.149765357347781,1.230631225472402,1.0010886243143367
mm,1,Serum,AKT,MAPK,0.23443630452178432,0.8107465270478409,0.1878303217849333,1.1764469814161334,1.7541188821187628,1.1390494034922771
mm,1,Serum,AKT,MEK,0.32265733444394096,0.042119169434691406,0.17708794214282997,1.2506319976428202,1.0296251289727993,1.130599482805353
mm,1,Serum,AKT,mTOR,0.45808711632220767,0.4725352012803137,0.30666901655600054,1.3737191821792711,1.3875456159838262,1.2368486880106457
mm,1,Serum,AKT,PDK1,0.034202077587903806,0.7108991470568344,0.034202077587903806,1.0239903202065521,1.6368239354773628,1.0239903202065521
hill,1,Serum,AKT,AKT,3.057754279085977,2.4672564807148736,1.8286248392128013,8.326754441555465,5.529911840289861,3.5519833996684467
hill,1,Serum,AKT,EGFR,0.004561769440512009,0.4911200517256673,0.004561769440512009,1.0031669819504396,1.4055356549030842,1.0031669819504396
hill,1,Serum,AKT,GSK3,0.20133946783875656,0.586488763808445,0.1604020874447909,1.149765357347781,1.5015877271336164,1.1175985758518012
hill,1,Serum,AKT,MAPK,0.23443630452178432,0.9884799296809632,0.19319454926249136,1.1764469814161334,1.9840933839902262,1.1432924994679015
hill,1,Serum,AKT,MEK,0.32265733444394096,0.48697275828853526,0.06700126148198171,1.2506319976428202,1.4015009849668267,1.0475370430581183
hill,1,Serum,AKT,mTOR,0.45808711632220767,0.756819134319199,0.3152942246212781,1.3737191821792711,1.6897609160717704,1.2442653841097906
hill,1,Serum,AKT,PDK1,0.034202077587903806,1.1274656578244837,0.034202077587903806,1.0239903202065521,2.1847461469208134,1.0239903202065521
mass_action,2,Serum,AKT,AKT,1.5053732743066983,1.7422819679163113,0.6171020891202508,2.838981158429055,3.345639425148677,1.5337911911706779
mass_action,2,Serum,AKT,EGFR,0.0161080253218695,0.45661875832142673,0.0161080253218695,1.0112277961725828,1.372321738265744,1.0112277961725828
mass_action,2,Serum,AKT,GSK3,0.3895118198934482,0.15521677175397636,0.5624111974329242,1.3099500670801862,1.113588927662616,1.4767352452896598
mass_action,2,Serum,AKT,MAPK,0.0932103585000208,0.5523501002024065,0.14574086276243992,1.0667413104043533,1.4664725843349002,1.1062986216145947
mass_action,2,Serum,AKT,MEK,0.449873542272176,0.7293730904237454,0.10898777850906849,1.365920523358652,1.65791850216815,1.0784712956105158
mass_action,2,Serum,AKT,mTOR,0.22044011249269135,0.3485115307071144,0.1565324374272854,1.1650889574825416,1.2732463051862566,1.1146049282321828
mass_action,2,Serum,AKT,PDK1,0.11668742645800749,0.4877672390937705,0.11668742645800749,1.084242471994707,1.4022729930795423,1.084242471994707
mm,2,Serum,AKT,AKT,1.5053732743066983,0.634981027877835,0.3694280139764845,2.838981158429055,1.552917328270424,1.2918405524234842
mm,2,Serum,AKT,EGFR,0.0161080253218695,0.6032899260139355,0.0161080253218695,1.0112277961725828,1.5191769550666532,1.0112277961725828
mm,2,Serum,AKT,GSK3,0.3895118198934482,0.2914527833338114,0.5892815890836406,1.3099500670801862,1.2238720875996305,1.5044973745613968
mm,2,Serum,AKT,MAPK,0.0932103585000208,0.4830998640260358,0.1398163412368718,1.0667413104043533,1.397743720977148,1.1017648494695873
mm,2,Serum,AKT,MEK,0.449873542272176,0.08509703839354366,0.04987173431459491,1.365920523358652,1.06075908762864,1.0351728856361369
mm,2,Serum,AKT,mTOR,0.22044011249269135,0.71018220510983,0.06902201272648423,1.1650889574825416,1.6360107239745227,1.0490053332384175
mm,2,Serum,AKT,PDK1,0.11668742645800749,0.793384495926938,0.11668742645800749,1.084242471994707,1.7331355531408712,1.084242471994707
hill,2,Serum,AKT,AKT,1.5053732743066983,0.9148754759355948,0.2762438344335225,2.838981158429055,1.8854063287861262,1.2110377479593086
hill,2,Serum,AKT,EGFR,0.0161080253218695,0.5026663076070248,0.0161080253218695,1.0112277961725828,1.4168296488249572,1.0112277961725828
hill,2,Serum,AKT,GSK3,0.3895118198934482,0.004362523923759798,0.7512533751769956,1.3099500670801862,1.0030284476680322,1.6832545623657997
hill,2,Serum,AKT,MAPK,0.0932103585000208,0.6608332666591581,0.13445211375931376,1.0667413104043533,1.580995505820498,1.097675874862438
hill,2,Serum,AKT,MEK,0.449873542272176,0.6141889661167703,0.06021494634625335,1.365920523358652,1.5306972494560211,1.0426210888163425
hill,2,Serum,AKT,mTOR,0.22044011249269135,0.9944661381487153,0.07764722079176178,1.1650889574825416,1.9923431329400367,1.055295636845017
hill,2,Serum,AKT,PDK1,0.11668742645800749,1.2099510066945875,0.11668742645800749,1.084242471994707,2.3132978078743145,1.084242471994707
mass_action,3,Serum,AKT,AKT,3.3333225597803464,3.5702312533899594,2.4450513745938993,10.079293130165201,11.878092383174089,5.445450375876753
mass_action,3,Serum,AKT,EGFR,0.04027101764443097,0.4807817506439882,0.04027101764443097,1.0283069812403274,1.3954996384669063,1.0283069812403274
mass_action,3,Serum,AKT,GSK3,0.5276580181326456,0.7619530662721175,0.3547586405931695,1.441587111716167,1.6957847611310441,1.2787716279664714
mass_action,3,Serum,AKT,MAPK,0.023156986975723548,0.6224034717267037,0.07568749123814267,1.0161807127629185,1.5394376872516398,1.053863116461497
mass_action,3,Serum,AKT,MEK,0.033091791966168405,0.246407756185401,0.37397755572927593,1.0232025692773856,1.1862497277865136,1.2959208043994381
mass_action,3,Serum,AKT,mTOR,0.32454111397012597,0.8934927571699317,0.3884487890355319,1.2522660600446724,1.8576680888295272,1.308985203126873
mass_action,3,Serum,AKT,PDK1,0.06300999101069692,0.43408980364645994,0.06300999101069692,1.0446429972435873,1.3510581814318563,1.0446429972435873
mm,3,Serum,AKT,AKT,3.3333225597803464,2.4629303133514835,2.1973772994501326,10.079293130165201,5.513354293345069,4.586448052552733
mm,3,Serum,AKT,EGFR,0.04027101764443097,0.627452918336497,0.04027101764443097,1.0283069812403274,1.5448351741785493,1.0283069812403274
mm,3,Serum,AKT,GSK3,0.5276580181326456,0.6257170546922823,0.32788824894245316,1.441587111716167,1.5429775323973938,1.2551747617672304
mm,3,Serum,AKT,MAPK,0.023156986975723548,0.553153235550333,0.06976296971257456,1.0161807127629185,1.4672891837029844,1.0495442326188231
mm,3,Serum,AKT,MEK,0.033091791966168405,0.39786829584480077,0.5328370685529393,1.0232025692773856,1.3175596657424753,1.446771484821627
mm,3,Serum,AKT,mTOR,0.32454111397012597,1.2551634315726474,0.4759592137363331,1.2522660600446724,2.38694186861652,1.3908426508033933
